code,label_fr,label_en,active
420.BP,Techniques de l'informatique – Programmation,Computer Science Technology – Programming,true
420.BR,Techniques de l'informatique – Gestion de réseaux et sécurité,Computer Science Technology – Network and Security Management,true
420.BX,Techniques de l'informatique – Programmation en jeux vidéo,Computer Science Technology – Video Game Programming,true
420.B0,Techniques de l'informatique (profil inconnu),Computer Science Technology (stream unknown),true
570.E0,Techniques de design d'intérieur (DEC),Interior Design Technology (DEC),true
NTA.21,Techniques de design d'intérieur (AEC),Interior Design Technology (AEC),true
571.A0,Design de la mode,Fashion Design,true
571.C0,Commercialisation de la mode,Fashion Merchandising,true
LEA.3Q,Programmeur-analyste – Programmation (AEC),IT Analyst-Programmer – Programming (AEC),true
LEA.99,Programmeur-analyste – Réseaux et sécurité (AEC),IT Analyst-Programmer – Networking (AEC),true
LEA.DQ,Intelligence artificielle (AEC),Artificial Intelligence (AEC),true
410.G0,Techniques de la logistique du transport (DEC),Transportation Logistics Technology (DEC),true
LCA.5G,Logistique du transport (AEC),Transportation Logistics (AEC),true
410.B0,Comptabilité (DEC),Accounting (DEC),true
LCA.71,Comptabilité (AEC),Accounting (AEC),true
410.D0,Gestion de commerces (DEC),Commerce Management (DEC),true
LCA.70,Gestion de commerces (AEC),Commerce Management (AEC),true
NWY.1X,Stratégie sur les réseaux sociaux (AEC),Social Media Strategy (AEC),true
